"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-12 14:27:26",1762957646235,"chatbotcollectibus.vercel.app/chat/baf59ba3-8225-4d1c-ad51-ecd23420bf9f","GET","",200,"dglkp-1762957646087-e8df76eb8944","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","lambda","/chat/[id]","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",13,"iad1",132,2048,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DPCV15C5XXGNKTR6C8VA","xsIqoR1WXVKx",1
"2025-11-12 14:27:26",1762957646230,"chatbotcollectibus.vercel.app/chat/f09085be-ed98-4ef9-9557-9fc49d8071c5","GET","",200,"9p2qr-1762957646090-df197c736d21","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","lambda","/chat/[id]","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",9,"iad1",131,2048,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DPCPPK4ARBP16QG4V2XG","aBvCYZhehMZe",1
"2025-11-12 14:27:26",1762957646194,"chatbotcollectibus.vercel.app/chat/8302da57-5eac-400d-973e-c7bca4143c17","GET","",-1,"p4x8n-1762957646088-13a182c76e4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DP8MPB20XJX3T9CBQX86","",-1
"2025-11-12 14:27:26",1762957646193,"chatbotcollectibus.vercel.app/chat/3de91dc4-9995-45d3-bd38-5671f238d504","GET","",-1,"5zw28-1762957646088-28e32d19000a","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DP8C74E3ADTTA5AB9WAV","",-1
"2025-11-12 14:27:26",1762957646173,"chatbotcollectibus.vercel.app/chat/f09085be-ed98-4ef9-9557-9fc49d8071c5","GET","",-1,"9p2qr-1762957646090-df197c736d21","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DP8F3TCJVQ86ENQ55BK6","",-1
"2025-11-12 14:27:26",1762957646173,"chatbotcollectibus.vercel.app/chat/baf59ba3-8225-4d1c-ad51-ecd23420bf9f","GET","",-1,"dglkp-1762957646087-e8df76eb8944","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DP8AVXJ9QENAWH0W91Y6","",-1
"2025-11-12 14:27:26",1762957646100,"chatbotcollectibus.vercel.app/chat/8302da57-5eac-400d-973e-c7bca4143c17","GET","",200,"p4x8n-1762957646088-13a182c76e4b","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DP8MPB20XJX3T9CBQX86","Kk8XMp7Zbyxd",-1
"2025-11-12 14:27:26",1762957646096,"chatbotcollectibus.vercel.app/chat/7b1815c3-2ffc-4550-bc63-8e58b19e4659","GET","",200,"p5stz-1762957646088-27ef5b2e9db7","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DP8GGHHWC64FMFSC5MMH","krrLxXUesaQ6",-1
"2025-11-12 14:27:26",1762957646095,"chatbotcollectibus.vercel.app/chat/f09085be-ed98-4ef9-9557-9fc49d8071c5","GET","",200,"9p2qr-1762957646090-df197c736d21","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DP8F3TCJVQ86ENQ55BK6","sQ2s74Y5fZwk",-1
"2025-11-12 14:27:26",1762957646092,"chatbotcollectibus.vercel.app/chat/3de91dc4-9995-45d3-bd38-5671f238d504","GET","",200,"5zw28-1762957646088-28e32d19000a","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DP8C74E3ADTTA5AB9WAV","exaeX70j6zWi",-1
"2025-11-12 14:27:26",1762957646090,"chatbotcollectibus.vercel.app/chat/baf59ba3-8225-4d1c-ad51-ecd23420bf9f","GET","",200,"dglkp-1762957646087-e8df76eb8944","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DP8AVXJ9QENAWH0W91Y6","89pK3wlP4Bll",-1
"2025-11-12 14:27:25",1762957645646,"chatbotcollectibus.vercel.app/api/conversations","GET","",200,"9p2qr-1762957645351-df1246c2b28c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","lambda","/api/conversations","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",340,"iad1",127,2048,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DNTE889WY35N66PPR4C7","GzZUFRLaAKI7",1
